Node name	K-shell	R-shell	K-Coreness	Hierarchical closeness	Closeness	Betweeness	Page rank in	Total degree	Katz	Page rank out	Epidemic SIR	Rumor spreading	Taxi passenger ranking	UW_ModuleID
7	3	34	77	34.459595959596	0.45959595959596	31.66667	0.7	4	0.1714986	0.98973	0.2011765	0.1411765	34	2
17	2	34	24	34.3363636363636	0.336363636363636	0	0.7	2	0.1714986	0.5706316	0.1270588	0.09588236	34	2
30	3	34	107	34.4656565656566	0.465656565656566	3.085714	0.7	4	0.1714986	0.893761	0.2214706	0.1488235	34	0
27	2	34	61	34.4227272727273	0.422727272727273	0	0.7	2	0.1714986	0.5114726	0.1691176	0.1232353	34	0
25	3	34	44	34.4217171717172	0.421717171717172	2.333333	0.7	3	0.1714986	0.7165481	0.1482353	0.1391176	34	3
26	3	34	47	34.4217171717172	0.421717171717172	4.055556	0.7	3	0.1714986	0.7141737	0.2011765	0.1226471	34	3
5	3	34	71	34.4444444444444	0.444444444444445	0.6666667	0.7	3	0.1714986	0.7472134	0.1958824	0.1161765	34	2
11	3	34	71	34.4444444444444	0.444444444444445	0.6666667	0.7	3	0.1714986	0.7472134	0.2076471	0.1573529	34	2
4	4	34	160	34.5353535353535	0.535353535353535	12.57619	0.7	6	0.1714986	1.219161	0.2667647	0.1461765	34	1
13	2	34	71	34.4242424242424	0.424242424242424	0	0.7	2	0.1714986	0.4979017	0.2029412	0.1267647	34	1
12	1	34	49	34.4090909090909	0.409090909090909	0	0.7	1	0.1714986	0.325189	0.12	0.215	34	1
1	4	34	250	34.7020202020202	0.702020202020202	462.1429	0.7	16	0.1714986	3.29771	0.3885294	0.2488235	34	1
2	4	34	187	34.5808080808081	0.580808080808081	56.95714	0.7	9	0.1714986	1.797705	0.3620588	0.1555882	34	1
18	2	34	80	34.4292929292929	0.429292929292929	0	0.7	2	0.1714986	0.4949704	0.2120588	0.1255882	34	1
29	3	34	105	34.4974747474747	0.497474747474748	1.895238	0.7	3	0.1714986	0.6654606	0.2732353	0.1352941	34	3
32	3	34	161	34.5858585858586	0.585858585858586	146.0191	0.7	6	0.1714986	1.263301	0.3332353	0.2023529	34	3
9	4	34	184	34.5606060606061	0.560606060606061	59.05874	0.7	5	0.1714986	1.011984	0.3185294	0.1902941	34	0
31	4	34	134	34.5126262626263	0.512626262626263	15.21905	0.7	4	0.1714986	0.836016	0.2694118	0.1282353	34	0
24	3	34	119	34.4858585858586	0.485858585858586	18.6	0.7	5	0.1714986	1.071704	0.33	0.1655882	34	3
28	3	34	110	34.5126262626263	0.512626262626263	23.58413	0.7	4	0.1714986	0.8717028	0.2832353	0.1726471	34	3
3	4	34	226	34.6363636363636	0.636363636363636	151.7016	0.7	10	0.1714986	1.940546	0.4002941	0.1805882	34	1
10	2	34	84	34.4722222222222	0.472222222222222	0.8952381	0.7	2	0.1714986	0.4864949	0.2261765	0.1538235	34	0
33	4	34	211	34.6338383838384	0.633838383838384	153.3809	0.7	12	0.1714986	2.437422	0.4232353	0.2023529	34	0
21	2	34	83	34.430303030303	0.43030303030303	0	0.7	2	0.1714986	0.4941992	0.2805882	0.1770588	34	0
34	4	34	234	34.7045454545455	0.704545454545454	321.1032	0.7	17	0.1714986	3.431043	0.4120588	0.1964706	34	0
19	2	34	83	34.430303030303	0.43030303030303	0	0.7	2	0.1714986	0.4941992	0.2185294	0.1038235	34	0
6	3	34	77	34.459595959596	0.45959595959596	31.66667	0.7	4	0.1714986	0.98973	0.2435294	0.1305882	34	2
8	4	34	138	34.4974747474747	0.497474747474748	0	0.7	4	0.1714986	0.8326276	0.2714706	0.1544118	34	1
14	4	34	186	34.5606060606061	0.560606060606061	48.43174	0.7	5	0.1714986	1.004178	0.3505882	0.2026471	34	1
20	3	34	128	34.530303030303	0.53030303030303	34.29364	0.7	3	0.1714986	0.6665207	0.2535294	0.1752941	34	1
22	2	34	80	34.4292929292929	0.429292929292929	0	0.7	2	0.1714986	0.4949704	0.1961765	0.1667647	34	1
15	2	34	83	34.430303030303	0.43030303030303	0	0.7	2	0.1714986	0.4941992	0.2252941	0.1647059	34	0
16	2	34	83	34.430303030303	0.43030303030303	0	0.7	2	0.1714986	0.4941992	0.1738235	0.1535294	34	0
23	2	34	83	34.430303030303	0.43030303030303	0	0.7	2	0.1714986	0.4941992	0.1835294	0.1820588	34	0
